isin,ticker,name
GG00BRK9BQ81,SEED,Seed Innovations Ltd
GB00B5ZN1N88,SGRO,Segro PLC
GB0031256109,HYG,Seneca Growth Capital VCT PLC
GB00BG13MH08,SVCT,Seneca Growth Capital VCT PLC B
GG00BV54HY67,SEQI,Sequoia Economic Infrastructure Income Fund Ltd
GB00BKPG0138,SSIT,Seraphim Space Investment Trust PLC
GB00B62G9D36,SHC,Shaftesbury Capital PLC
GG00B1W3VF54,SRE,Sirius Real Estate Ltd
GB00BF0P7H59,SOHO,Social Housing REIT PLC
GB00B0BDCB21,SEC,Strategic Equity Capital PLC
GB00B09G3N23,STS,STS Global Income & Growth Trust PLC
GB00BF345X11,SUPR,Supermarket Income Reit PLC
GB00BYWYZ460,SURE,Sure Ventures PLC
GG00B8P59C08,SYNC,Syncona Ltd
GB00BJGTLF51,THRL,Target Healthcare REIT Ltd
GB00BMV92D64,TMPL,Temple Bar Investment Trust PLC
GB00BKPG0S09,TEM,Templeton Emerging Markets Investment Trust PLC
GG00B1RMC548,TFGS,Tetragon Financial Group Ltd
GB00BMCF8689,ESCT,The European Smaller Companies Trust PLC
GG00BBHX2H91,TRIG,The Renewables Infrastructure Group Ltd
GG00BJ0CDD21,MNTS,The Schiehallion Fund Ltd
GB00BTY5RC40,TIR,Tiger Alpha PLC
GB00BKKD0862,TOO,Tooru PLC
GB0003062816,TOWN,Town Centre Securities PLC
GB0009064097,TRY,TR Property Investment Trust PLC
GB00BDTYGZ09,TPV,Triple Point Venture VCT PLC
GB00BG49KP99,BBOX,Tritax Big Box REIT PLC
GG00BSFVPB94,SHPP,Tufton Assets Ltd
GG00B90J5Z95,TFIF,TwentyFour Income Fund Ltd
GG00BJVDZ946,SMIF,TwentyFour Select Monthly Income Fund Ltd
,UTL,UIL Ltd
GB00B1RTFN43,UAV,Unicorn AIM VCT PLC
GB0006928617,UTG,UNITE Group PLC
GB00BJCWFX49,USFP,US Solar Fund PLC
GB00BD45S967,UEM,Utilico Emerging Markets Trust PLC
GB0008484718,VIP,Value & Indexed Property Income Trust PLC
GB00BNKVP754,ENRG,VH Global Energy Infrastructure PLC
,VEIL,Vietnam Enterprise Investments Ltd
GG00BJQZ9H10,VNH,Vietnam Holding Ltd
GG00BYXVT888,VOF,VinaCapital Vietnam Opportunity Fund Ltd
GG00B1GHHH78,VTAS,Volta Finance Ltd
GB00BVG6X439,VSL,VPC Specialty Lending Investments PLC
GB00B67G5X01,WKP,Workspace Group PLC
GB00BN455J50,WWH,Worldwide Healthcare Trust PLC
GG00BHXH0C87,WINV,Worsley Investors Ltd
